"last_name","frequency"
"Tramer","203"
"Tetzlaff","203"
"Doering","203"
"Champarnaud","203"
"Ramsay","203"
"Ishibashi","203"
"Lorho","203"
"Conta","203"
"Penttonen","203"
"Kirkerud","203"
"Herbst","203"
"Gihr","202"
"Schlegelmilch","202"
"Karnin","202"
"Lubachevsky","202"
"Kornyak","202"
"Schapire","202"
"Pews","202"
"Yurek","202"
"Soicher","202"
"Biran","202"
"Kilgour","202"
"Thummel","202"
"Stanfel","201"
"Taneja","201"
"Morrow","201"
"Schusler","201"
"Albarhamtoshy","201"
"Rouquie","201"
"Genther","201"
"Brodie","201"
"Cooke","201"
"Perez","201"
"Kalorkoti","201"
"Bernardeschi","201"
"Krybus","201"
"Pelc","201"
"Bahl","201"
"Rusterholz","201"
"McConalogue","201"
"Mukaidono","201"
"Erdi","201"
"Kavanagh","201"
"Wynblatt","201"
"Clouatre","201"
"Auyong","200"
"Rosch","200"
"Sgarro","200"
"Snedden","200"
"Pfau","200"
"Hoppenstand","200"
"Hammerschmidt","200"
"Mitzlaff","200"
"Hiroyama","200"
"Speek","200"
"Kaelbling","200"
"Gulik","200"
"Lamma","200"
"Otillio","200"
"Itzigehl","200"
"Shumilov","200"
"Fargier","200"
"Gimbel","200"
"Taubenfeld","200"
"Imataki","200"
"Dredge","200"
"McClurg","200"
"Domenig","200"
"Schreiter","200"
"Iwayama","200"
"Pocchiola","200"
"Heystek","200"
"Maraist","200"
"Beetstra","200"
"Bugrara","200"
"Nannarelli","200"
"Lindenbaum","200"
"Radivojevic","200"
"Norsworthy","200"
"Warwick","199"
"Michaels","199"
"Tiemann","199"
"Akaboshi","199"
"Hofman","199"
"Curless","199"
"Merks","199"
"Muchinsky","199"
"Brookner","199"
"Munawer","199"
"Fortenbacher","199"
"Mawatari","199"
"Hettesheimer","199"
"Speckmann","199"
"Slobodova","199"
"Neimat","199"
"Sridhar","199"
"Gammage","199"
"Hitomi","199"
"Maierhofer","199"
"Rassart","199"
"Kawashima","199"
"Skafidas","199"
"Karner","199"
"Servieres","199"
"Zaumen","199"
"Piveteau","198"
"Khamsi","198"
"Hiyoshi","198"
"Schiper","198"
"Bednarek","198"
"McFarlin","198"
"Stanger","198"
"Katiyar","198"
"Bhattacharjee","198"
"Ghazalie","198"
"Lalonde","198"
"Matzen","198"
"Landherr","198"
"Vernadat","198"
"Picco","198"
"Poupard","198"
"Vigier","198"
"Chinin","198"
"Parveen","198"
"Pashtan","198"
"Zallocco","198"
"Weedman","197"
"Rajaraman","197"
"Suomi","197"
"Spelt","197"
"Ranum","197"
"Jiang","197"
"Ranta","197"
"Ciolek","197"
"Kampfer","197"
"Schmiedel","197"
"Nishimukai","197"
"Deville","197"
"Braccini","197"
"Pelz","197"
"Antonakopoulos","197"
"Merel","197"
"Srimani","197"
"Gornas","197"
"Avouris","197"
"Oppitz","197"
"Guting","197"
"Jonsson","197"
"Mikschl","197"
"Baby","197"
"Viele","197"
"Szilard","197"
"Ohori","197"
"Karcich","197"
"Granlund","197"
"Boyle","197"
"Erdmenger","197"
"Luca","197"
"Miara","197"
"Weisert","197"
"Servi","196"
"Leaver","196"
"Swan","196"
"Sadowski","196"
"Llado","196"
"Setia","196"
"Kakkar","196"
"Hartvigsen","196"
"Brender","196"
"Hofstetter","196"
"Rosenbaum","196"
"Schach","196"
"Heuser","196"
"Papadias","196"
"Grospietsch","196"
"Merey","196"
"Borstler","196"
"Carrere","196"
"Masand","196"
"Quadeer","196"
"Monarch","196"
"Gajiwala","196"
"Syang","196"
"Meriste","196"
"Michaeli","196"
"Simkin","196"
"Gustavson","196"
"Antonisse","196"
"Conia","196"
"Chepyzhov","196"
"Sichman","196"
"Schaap","196"
"Serna","195"
"Papsdorf","195"
"Rosin","195"
"Ouhyoung","195"
"Langford","195"
"Rikino","195"
"Kalloufi","195"
"Zumaque","195"
"Luft","195"
"Cools","195"
"Engberts","195"
"Manders","195"
"Ermel","195"
"Keustermans","195"
"Matheson","195"
"Bouloucos","195"
"Rindone","195"
"Muntz","195"
"Swift","195"
"Vilarrasa","195"
"Alameldin","195"
"Picel","195"
"Segond","195"
"Gronowski","195"
"Kuhnemann","195"
"Wrigley","195"
"Daescu","195"
"Camurati","195"
"Marrakchi","195"
"Mellouli","195"
"Hardjono","195"
"Conde","195"
"Birta","195"
"Kumaresan","195"
"Munke","195"
"Iivonen","194"
"Peltason","194"
"Hiraishi","194"
"Kusakabe","194"
"Stentiford","194"
"Fujisaki","194"
"Kobara","194"
"Tagansky","194"
"Erez","194"
"Melski","194"
"Birge","194"
"Constantine","194"
"Shanbhogue","194"
"Unno","194"
"Nanard","194"
"Schaad","194"
"Frolund","194"
"Basagni","194"
"Schwaller","194"
"Hofting","194"
"Haumacher","194"
"Docker","194"
"Juneja","194"
"Brobst","194"
"Irland","194"
"Schaar","194"
"Vickson","194"
"Kuszyk","194"
"Salvesen","194"
"Remmele","194"
"Hertweck","193"
"Worfolk","193"
"Serre","193"
"Chvatal","193"
"Radhakrishnan","193"
"Candan","193"
"Melton","193"
"Colorni","193"
"Jakobus","193"
"Sifakis","193"
"Melichar","193"
"Wursthorn","193"
"Cochrane","193"
"Christ","193"
"Morrin","193"
"Thebaut","193"
"Kleiser","193"
"Crelier","193"
"Linnainmaa","193"
"Gist","193"
"Camarinopoulos","193"
"Alblas","193"
"Rosis","193"
"Bernatsky","193"
"Sundgren","193"
"Butner","193"
"Junet","193"
"Stassinopoulos","193"
"Pehl","192"
"Remmers","192"
"Rajala","192"
"Maliniak","192"
"Zongker","192"
"Senzako","192"
"Ducloy","192"
"Speel","192"
"Luby","192"
"Ertl","192"
"Baer","192"
"Menhoudj","192"
"Eiter","192"
"Fontan","192"
"Baaz","192"
"Woycyznski","192"
"Randi","192"
"Tomescu","192"
"Parascandalo","192"
"Eickenmeyer","192"
"Heuter","192"
"Cherinka","192"
"Thimonier","192"
"Apsitis","192"
"Hutton","192"
"Dulin","192"
"Wossner","192"
"Wroclawski","192"
"Bahk","192"
"Heyers","192"
"Barbanera","192"
"Rosiles","192"
"Simmen","192"
"Kemmerer","192"
"Kisuki","192"
"Byoun","191"
"Salinas","191"
"Trystram","191"
"Gomatam","191"
"Bach","191"
"Kaminger","191"
"Hoogerwoord","191"
"Pusterhofer","191"
"Kilgore","191"
"Khalid","191"
"Kushner","191"
"Rothenberg","191"
"Sidou","191"
"Bahr","191"
"Fairtlough","191"
"Krohm","191"
"Miake","191"
"Noriega","191"
"Mapelli","191"
"Vecchio","191"
"Marquardt","191"
"Brandsma","191"
"Vecchi","191"
"Kambil","191"
"Larfeldt","191"
"Azumi","191"
"Bruckman","191"
"Weiland","191"
"Peak","191"
"Furedi","191"
"Khalil","191"
"Peron","191"
"Anick","191"
"Bodoff","191"
"Plesums","191"
"Thiran","191"
"Haddadi","191"
"Selvestrel","191"
"Roisin","191"
"Hasham","191"
"Parfitt","191"
"Ghelli","191"
"Plessier","191"
"Madeira","190"
"Vingron","190"
"Kohling","190"
"Liesche","190"
"Cardazo","190"
"Steenbeek","190"
"Anandan","190"
"Peyn","190"
"Riesenhuber","190"
"Reeken","190"
"Moffat","190"
"Suri","190"
"Lindqvist","190"
"Czap","190"
"Merkl","190"
"Lorin","190"
"Leslie","190"
"Ranft","190"
"Anger","190"
"Jervis","190"
"Birnbaum","190"
"Goodrum","190"
"Hellwagner","190"
"Seghrouchni","190"
"Strandh","190"
"Ramaiah","190"
"Staylopatis","190"
"Hanratty","190"
"Klassen","190"
"Callaway","190"
"Jullig","190"
"Swiss","190"
"Munch","190"
"Emiris","190"
"Haraldson","190"
"Underwood","190"
"Diderrich","190"
"Itzfeldt","190"
"Birsak","190"
"Suppi","190"
"Ashish","190"
"Baezner","190"
"Conte","190"
"Keohane","190"
"Salverda","190"
"Leuchs","189"
"Chleq","189"
"Dulay","189"
"Huttel","189"
"Hanabata","189"
"Francisci","189"
"Plump","189"
"Jahnichen","189"
"Gargeya","189"
"Marshall","189"
"Farrar","189"
"Rahimi","189"
"Orsini","189"
"Horswill","189"
"Zaccaria","189"
"Billawala","189"
"Smailagic","189"
"Laventhal","189"
"Manderick","189"
"Pargas","189"
"Millington","189"
"Przulj","189"
"Litecky","189"
"Lorys","189"
"Acton","189"
"Picht","189"
"Budinsky","189"
"Siochi","189"
"Ellozy","189"
"Baar","189"
"Rousseau","189"
"Molenkamp","189"
"Maquelin","189"
"Gils","189"
"Bala","189"
"Petersohn","189"
"Uehara","189"
"Bellmore","189"
"Bultermann","189"
"Lanzelotte","189"
"Ferretti","189"
"Shackel","189"
"Boreale","189"
"Bonifati","189"
"Kriebel","189"
"Fiebach","189"
"Parhami","189"
"Scharstein","189"
"Valette","189"
"Highland","189"
"Backhouse","189"
"Spinelli","189"
"Perfilyeva","189"
"Perly","189"
"Penz","188"
"Garnick","188"
"Begiun","188"
"Bazzichi","188"
"Heering","188"
"Waymire","188"
"Impagliazzo","188"
"Luan","188"
"Denti","188"
"Delgrande","188"
"Murtha","188"
"Decleir","188"
"Demos","188"
"Tyugu","188"
"Oberman","188"
"Makrucki","188"
"Stroustrup","188"
"Reutenauer","188"
"Rissland","188"
"Zirintsis","188"
"Majewski","188"
"Kamble","188"
"Bolotov","188"
"Perry","188"
"Yoshizawa","188"
"Baek","188"
"Kawashimo","188"
"Besselaar","188"
"Jansen","188"
"Narwekar","188"
"Joslin","188"
"Delgrossi","188"
"Puppo","188"
"Bressoud","188"
"Tchuente","188"
"Sudkamp","188"
"Ressouche","188"
"Katzenelson","188"
"Mitina","188"
"Bojadziev","187"
"Eugenio","187"
"Chachaty","187"
"Lipner","187"
"Pavlopoulou","187"
"Belinskaya","187"
"Bierman","187"
"Danley","187"
"Hiltgen","187"
"Preusig","187"
"Hinsberger","187"
"Vanwelkenhuysen","187"
"Kusalik","187"
"Bratten","187"
"Velasco","187"
"Siegrist","187"
"Muhling","187"
"Kaiser","187"
"Kornatzky","187"
"Beznosov","187"
"Milicic","187"
"Zeidenstein","187"
"Bridgland","187"
"Leivant","187"
"Billingsley","187"
"Shihab","187"
"Nyanchama","187"
"Rodham","187"
"Crooks","187"
"Buescher","187"
"Awdeh","187"
"Yeung","187"
"Famili","187"
"Isard","187"
"Versino","187"
"Felcyn","187"
"Benzmuller","187"
"Eiron","187"
"Demian","187"
"Lenart","187"
"Strehl","187"
"Godskesen","187"
"Middleton","187"
"Xiaoshan","187"
"Garigliano","187"
"Talmor","186"
"Cannard","186"
"Koshino","186"
"Kranzdorf","186"
"Facello","186"
"Sethi","186"
"Giveon","186"
"Rijckaert","186"
"Lundstrom","186"
"Merli","186"
"Silva","186"
"Poulakidas","186"
"Walstra","186"
"Kavvadias","186"
"Ratnakar","186"
"Danecki","186"
"Goldhammer","186"
"Benantar","186"
"Bain","186"
"Krzyzanowski","186"
"McDermid","186"
"Iacovou","186"
"Erbe","186"
"Pulkowski","186"
"Hedayat","186"
"Meszaros","186"
"Mitchem","186"
"Takkinen","186"
"Berendt","186"
"Rosen","186"
"Liedekerke","186"
"Gyimothy","186"
"Peir","186"
"Gulak","186"
"Vesel","186"
"Reghbati","185"
"Lally","185"
"Tsukuda","185"
"Ranai","185"
"Lorch","185"
"DasSarma","185"
"Nastansky","185"
"Muhlberg","185"
"Schieder","185"
"Kakkad","185"
"Walston","185"
"Valtorta","185"
"Openshaw","185"
"Gerteisen","185"
"Narahara","185"
"Petereit","185"
"Borovoy","185"
"Marrevee","185"
"Erde","185"
"Orlowski","185"
"Gurbaxani","185"
"Sooriamurthi","185"
"Crouzet","185"
"Chandrasekhar","185"
"Dusink","185"
"Danlos","185"
"Rosay","185"
"Kropp","185"
"Riefers","185"
"Braunschweig","185"
"Cappelli","185"
"Pollacia","185"
"Fraisse","185"
"Barvinok","185"
"Ghalwash","185"
"Gruenwald","185"
"Rahier","185"
"Zucker","185"
"Willoner","185"
"Paciorek","185"
"Schwartzburd","185"
"Veevers","185"
"Krichel","185"
"Kitai","185"
"Terekhov","185"
"Plavsic","185"
"Brattka","185"
"Brendel","185"
"Decaestecker","185"
"Gien","184"
"Denna","184"
"Kaltofen","184"
"Chaudhury","184"
"Rosca","184"
"Isaac","184"
"Dratva","184"
"Compeau","184"
"Feldmann","184"
"Weedon","184"
"Heemskerk","184"
"Welham","184"
"Honglei","184"
"Massonet","184"
"Harllee","184"
"Schade","184"
"Rodier","184"
"Narlikar","184"
"Lorcy","184"
"Ozeki","184"
"Babu","184"
"Litvinov","184"
"Karunanithi","184"
"Brodal","184"
"Hambrick","184"
"Masaki","184"
"Codenie","184"
"Holburn","184"
"Crabtree","184"
"Gill","184"
"Jeansoulin","184"
"Conti","184"
"Stamatiou","184"
"Szmurlo","184"
"Schiettecatte","184"
"Kobuchi","184"
"Schlumberger","184"
"Usery","184"
"Esposito","184"
"Asrin","184"
"Ibel","184"
"Heiserman","184"
"Koblitz","184"
"Panwar","184"
"Dichev","184"
"Montemayor","184"
"Kusakari","184"
"Furudate","184"
"Henders","183"
"Reistad","183"
"Debuse","183"
"Paludetto","183"
"Sankaranarayanan","183"
"Straney","183"
"Cappelletti","183"
"Klerer","183"
"Hooghiemstra","183"
"Oxenboll","183"
"Fadgyas","183"
"Perl","183"
"Rettelbach","183"
"Molberg","183"
"Munoz","183"
"Schaft","183"
"Haldar","183"
"Lichtman","183"
"Terlouw","183"
"Pollock","183"
"Waeselynck","183"
"Bottner","183"
"Vasanthakumar","183"
"Menhardt","183"
"Krone","183"
"Randt","183"
"Wegerle","183"
"Naudin","183"
"Peot","183"
"Bellone","183"
"Waterhouse","183"
"Hofmeyr","183"
"Lovengreen","183"
"Koshiba","183"
"Cheshire","183"
"Stasinski","183"
"Raney","183"
"Pietrzykowski","183"
"Mansanne","183"
"Passino","183"
"Escriba","183"
"Dehkordi","183"
"Veeraraghavan","183"
"Stavenow","183"
"Birdsall","183"
"Rodite","183"
"Cmelik","183"
"Businaro","183"
"Stenning","183"
"Luff","183"
"Peac","183"
"Zolotykh","183"
"Alpay","183"
"Olano","183"
"Koyama","183"
"Rothe","183"
"Raczkowsky","182"
"Percebois","182"
"Grandbois","182"
"Baez","182"
"Zlotek","182"
"Jumpertz","182"
"Pettit","182"
"Renear","182"
"Varman","182"
"Basawa","182"
"Baak","182"
"Buchter","182"
"Krogh","182"
"Suermann","182"
"Einsfeld","182"
"Besancenot","182"
"Guenter","182"
"Luck","182"
"Trelles","182"
"Talmon","182"
"Lortz","182"
"Ratzlaff","182"
"Uludag","182"
"Eterovic","182"
"Ushiama","182"
"Bale","182"
"Uhrik","182"
"Back","182"
"Rohrbach","182"
"Peng","182"
"Kroll","182"
"Speer","182"
"Vuskovic","182"
"Busillo","182"
"Birke","182"
"Ariola","182"
"Poujol","182"
"Lammel","182"
"Matzat","182"
"Poehlman","182"
"Auria","182"
"Azadmanesh","182"
"Verhaegen","182"
"Murillo","182"
"Claffy","182"
"Gluchowski","182"
"Anily","182"
"Msuda","182"
"Spieker","182"
"Kavraki","182"
"England","182"
"Naumovich","182"
"Koblick","182"
"Setlzner","182"
"Schwabacher","181"
"Heusch","181"
"Markovitch","181"
"Lichtner","181"
"Smeets","181"
"Mahmud","181"
"Nooteboom","181"
"Luit","181"
"Asmuth","181"
"Kroft","181"
"Demri","181"
"Giaccio","181"
"Huxford","181"
"Schapiro","181"
"Spataro","181"
"Dahlbom","181"
"Munos","181"
"Harbusch","181"
"Angel","181"
"Gilg","181"
"Ratnaker","181"
"Schmittgen","181"
"Szemeredi","181"
"Dayang","181"
"Chelton","181"
"Dalphin","181"
"Iisaka","181"
"Fetvedt","181"
"Quittner","181"
"Savasere","181"
"Chiodo","181"
"Trachtenberg","181"
"Broder","181"
"Cronau","181"
"Dengi","181"
"Zyda","181"
"Ossenbruggen","181"
"Gunderson","181"
"Cronan","181"
"Chaudhuri","181"
"Takanami","181"
"Ranon","181"
"Kuzuoka","181"
"Uhrig","181"
"Atchley","181"
"Vendrig","181"
"Reinhart","181"
"Yemenis","181"
"Varley","181"
"Mayerwieser","181"
"Staudhammer","181"
"Waschkowski","181"
"Cyne","181"
"Comellas","181"
"Peroz","181"
"Flasterstein","181"
"Fujisawa","181"
"Swist","181"
"Bashian","181"
"Cronin","180"
"Vitiello","180"
"Covnot","180"
"Erol","180"
"Griswold","180"
"Nitta","180"
"Tsukune","180"
"Munck","180"
"Bennis","180"
"Bail","180"
"Beutelspacher","180"
"Fioravanti","180"
"Cincotta","180"
"DuBourdieux","180"
"Sidhu","180"
"Ruther","180"
"Mondadori","180"
"Sherertz","180"
"Makinen","180"
"Zizka","180"
"McAffer","180"
"Ballarin","180"
"Cooman","180"
"Vakili","180"
"Binding","180"
"Ligten","180"
"Rissanen","180"
"Bahi","180"
"Fasbender","180"
"Prochazka","180"
"Kowalchuk","180"
"Terkki","180"
"Zweizig","180"
"Fabrizio","180"
"Kalafatis","180"
"Toyoshima","180"
"Erie","180"
"Christianini","180"
"Sullins","180"
"Winter","180"
"Bael","180"
"Stellhorn","180"
"Mattern","180"
"Baalen","180"
"Birrer","180"
"Chorvat","180"
"Puppe","179"
"Hockney","179"
"Wilfing","179"
"Ramamoorthy","179"
"Birch","179"
"Shokrollahi","179"
"Falco","179"
"Steinauer","179"
"Trogemann","179"
"Ozeri","179"
"Kolinko","179"
"Hebden","179"
"Deverell","179"
"Klyachko","179"
"Gecseg","179"
"Marchesini","179"
"Beilner","179"
"Lieblein","179"
"Pepe","179"
"Negoita","179"
"Hatcliff","179"
"Delgrange","179"
"Ladret","179"
"McClure","179"
"Farrag","179"
"Katalagarianos","179"
"Turnbull","179"
"Schneeberger","179"
"Streng","179"
"Werthner","179"
"Luon","179"
"Snyers","179"
"Prenel","179"
"Pagter","179"
"Berztiss","179"
"Foong","179"
"Ulupinar","179"
"Chiola","179"
"Lupu","179"
"Dymetman","179"
"Yurov","179"
"Motley","179"
"Krychniak","179"
"Broomell","179"
"Rodiger","179"
"Roccetti","179"
"Bazelow","179"
"Luga","179"
"Azulay","179"
"Binkley","178"
"Bakhtari","178"
"Detkin","178"
"Attimonelli","178"
"Improta","178"
"Tasistro","178"
"Samarati","178"
"Brickell","178"
"Botman","178"
"Chartres","178"
"Sewelson","178"
"Brlek","178"
"Ramsey","178"
"Ernst","178"
"Ginneken","178"
"Figueira","178"
"Kermarrec","178"
"Murtafg","178"
"Falby","178"
"Demir","178"
"Rebaine","178"
"Lagarias","178"
"Solovay","178"
"Radwan","178"
"Kossowski","178"
"Capobianchi","178"
"Sinitsyn","178"
"Eastman","178"
"Magliocco","178"
"Felder","178"
"Levasseur","178"
"Benveniste","178"
"Seuren","178"
"Restivo","178"
"Verspoor","178"
"Casley","178"
"Bernini","178"
"Rathonyi","178"
"Strooper","178"
"Angot","178"
"Jarecki","178"
"Bamford","178"
"Peres","178"
"Chenoweth","178"
"Caine","177"
"Zeleznik","177"
"Zultner","177"
"Cunliffe","177"
"Cairo","177"
"Undy","177"
"Mullainathan","177"
"Aseltine","177"
"Thorensen","177"
"Peris","177"
"Peral","177"
"Pouyioutas","177"
"Herath","177"
"Chinen","177"
"Peck","177"
"Perri","177"
"Vandervoorde","177"
"Knightly","177"
"Thiria","177"
"DiGiano","177"
"Angiulli","177"
"Merlo","177"
"Monkewich","177"
"Nourani","177"
"Zeilberger","177"
"Krupka","177"
"Czaja","177"
"Kieras","177"
"Templeman","177"
"Uchoa","177"
"Rando","177"
"Matzke","177"
"Zhiwei","177"
"Jayawardene","177"
"Magalhaes","177"
"Nitsche","177"
"Ruemmler","177"
"Feldhoffer","177"
"DuCasse","177"
"Bardell","177"
"Frezza","177"
"Trumbly","177"
"Anido","177"
"Beerel","176"
"Greibach","176"
"Falck","176"
"Olivero","176"
"Halloran","176"
"Luke","176"
"Pleszkun","176"
"Miyakawa","176"
"Lieberherr","176"
"Cullers","176"
"Rossi","176"
"Ullian","176"
"Schahn","176"
"Hasenauer","176"
"Kugler","176"
"Menyhert","176"
"Picaronny","176"
"Lukaszewicz","176"
"Reinhard","176"
"Gopalakrishnan","176"
"Pardalos","176"
"Danner","176"
"Loncour","176"
"Baca","176"
"Baja","176"
"Armand","176"
"Jording","176"
"Sinicrope","176"
"Zwicker","176"
"Sommer","176"
"Hainaut","176"
"Selenyi","176"
"Passafiume","176"
"Egerstedt","176"
"Chappelet","176"
"Saoudi","176"
"Demizu","176"
"Heping","176"
"Coombs","176"
"Skrikant","175"
"Schicker","175"
"Honiden","175"
"Porenta","175"
"Iisaku","175"
"Vural","175"
"Fendler","175"
"Engelmann","175"
"Molenaar","175"
"Sigstam","175"
"Milicia","175"
"Matteis","175"
"Atrawala","175"
"Picci","175"
"Shinomoto","175"
"Vidal","175"
"Bergere","175"
"Roohalamini","175"
"Alvarado","175"
"Cyre","175"
"Krohn","175"
"Murtagh","175"
"Wissmann","175"
"Demke","175"
"Coney","175"
"Vidya","175"
"Lienhardt","175"
"Flexer","175"
"Laurillard","175"
"Cooley","175"
"Valiente","175"
"Edelhoff","175"
"Denny","175"
"Lunn","175"
"Cappello","175"
"Tsunoo","175"
"Papastamatiou","175"
"Sommen","175"
"Chinal","175"
"Tanemo","175"
"Lores","175"
"Kalsbeek","175"
"Barreiro","175"
"Beausoleil","175"
"Vesna","175"
"Kropatsch","175"
"Schurmann","175"
"Bernick","174"
"Georg","174"
"Assaf","174"
"Potthoff","174"
"Douceur","174"
"Tzvieli","174"
"Sambasivam","174"
"Peha","174"
"Schonegge","174"
"Schoegge","174"
"Choobineh","174"
"Gecsel","174"
"Cannane","174"
"Angelov","174"
"Bage","174"
"Etalle","174"
"Varker","174"
"Azuma","174"
"Schlenzig","174"
"Syrzycki","174"
"Fiutem","174"
"Itschner","174"
"Cannata","174"
"Pintelas","174"
"Hennings","174"
"Dolinsky","174"
"Pettey","174"
"Oskamp","174"
"Oxman","174"
"Boissier","174"
"Schauser","174"
"Eldridge","174"
"Showalter","174"
"Veldwijk","174"
"Rubsam","174"
"Fordan","174"
"Quaggetto","173"
"Range","173"
"Zockler","173"
"Tischendorf","173"
"Flanders","173"
"Bratsberg","173"
"Rusmann","173"
"Gimarc","173"
"Denos","173"
"Biros","173"
"Biron","173"
"Pietracaprina","173"
"Ranze","173"
"Pena","173"
"Marchegay","173"
"Melter","173"
"Gadepally","173"
"Beidas","173"
"Clemencon","173"
"Validov","173"
"Lanteri","173"
"Comte","173"
"Huhdanpaa","173"
"Perna","173"
"Stafford","173"
"Gini","173"
"Leonhardt","173"
"Kruskal","173"
"Berstel","173"
"Nitsch","173"
"Masamoto","173"
"Peternell","173"
"Orlowska","173"
"Ambroszkiewicz","173"
"Deyuan","173"
"Syrotiuk","172"
"Whittlesey","172"
"Mersereau","172"
"Aingworth","172"
"Bade","172"
"Zaiane","172"
"Janetzko","172"
"Beeson","172"
"Nyrup","172"
"Portugali","172"
"Halevi","172"
"McAlpine","172"
"Glowinski","172"
"Ranka","172"
"Heydon","172"
"Perz","172"
"Tokunaga","172"
"Morton","172"
"Heinisuo","172"
"Basart","172"
"Thibadeau","172"
"Gide","172"
"Kalefeld","172"
"Vrecion","172"
"Fandrianto","172"
"Zielinski","172"
"Thombley","172"
"Henseler","172"
"Pell","172"
"Muniz","172"
"Vieri","172"
"Rotem","172"
"Comyn","171"
"Kenevan","171"
"Frijda","171"
"Gubsky","171"
"Lodder","171"
"Roison","171"
"Androutsos","171"
"Mungall","171"
"Litzler","171"
"Rullman","171"
"Kaiserswerth","171"
"Pauthner","171"
"Plotkin","171"
"Navazio","171"
"Rabejac","171"
"Serot","171"
"Rande","171"
"Hutter","171"
"Nergos","171"
"Kropf","171"
"Isaak","171"
"Hashii","171"
"Castellani","171"
"Piazza","170"
"Fontet","170"
"Harnett","170"
"Mateescu","170"
"Polajnar","170"
"Keirsey","170"
"Verhoeff","170"
"Lund","170"
"Himler","170"
"Setiz","170"
"Shobatake","170"
"Kinley","170"
"Hemaspaandra","170"
"Alencar","170"
"Badache","170"
"Sessa","170"
"Penn","170"
"Staelin","170"
"Yetim","170"
"Schrooten","170"
"Akiyama","170"
"Limongiello","170"
"Falster","170"
"Sluis","170"
"Spell","170"
"Marletta","170"
"Sanella","170"
"Farrel","170"
"Lueh","169"
"Minakawa","169"
"Glinert","169"
"Rijsenbrij","169"
"Maccarone","169"
"Ebeling","169"
"Junot","169"
"Thisen","169"
"Piancastelli","169"
"Condotta","169"
"Wixon","169"
"Casperson","169"
"Janocha","169"
"Badr","169"
"Journel","169"
"Kolvik","169"
"Ferriere","169"
"Yoshimura","169"
"Conry","169"
"Yetto","169"
"Shackell","169"
"Morris","169"
"Yavatkar","169"
"Unni","169"
"Maginnis","169"
"Gladwell","168"
"Jeong","168"
"Grabner","168"
"Gniady","168"
"Puoti","168"
"Pargaonkar","168"
"Streit","168"
"Theuretzbacher","168"
"Qiwen","168"
"Gyorkos","168"
"Montresor","168"
"Sevcikova","168"
"Perko","168"
"Kushnir","168"
"Butterworth","168"
"Wallrath","168"
"Arlazarov","168"
"Lakshmanan","168"
"Bauknecht","168"
"Yamaashi","168"
"Emmerich","168"
"Lampe","168"
"Thambidurai","167"
"Collavizza","167"
"Nations","167"
"Murthy","167"
"Nicolson","167"
"Wuwongse","167"
"Schueller","167"
"Benaini","167"
"Serdy","167"
"Fritzsche","167"
"Gips","167"
"Gire","167"
"Ramsak","167"
"Pesch","167"
"Cromarty","167"
"Burnard","167"
"Lung","167"
"Simmel","167"
"Oaver","167"
"Wiegley","167"
"Socorro","167"
"Brizzi","167"
"Stranks","166"
"Murrill","166"
"Erev","166"
"Teitelbaum","166"
"Azevdeo","166"
"Cusworth","166"
"Marsiglia","166"
"Coullard","166"
"Luiz","166"
"Erman","166"
